iteration,current_cost,best_cost,temperature
1,965.297,965.297,289.589
2,965.297,965.297,289.589
3,965.297,965.297,289.589
4,973.017,965.297,289.589
5,973.017,965.297,289.589
6,965.297,965.297,289.589
7,965.297,965.297,289.589
8,965.297,965.297,289.589
9,965.297,965.297,289.589
10,965.297,965.297,289.589
11,965.297,965.297,289.589
12,965.297,965.297,289.589
13,965.297,965.297,289.589
14,965.297,965.297,289.589
15,974.676,965.297,289.589
16,974.676,965.297,289.589
17,974.676,965.297,289.589
18,974.676,965.297,289.589
19,974.676,965.297,289.589
20,974.676,965.297,289.589
21,974.676,965.297,289.589
22,991.328,965.297,289.589
23,991.328,965.297,289.589
24,991.328,965.297,289.589
25,991.328,965.297,289.589
26,971.822,965.297,289.589
27,971.822,965.297,289.589
28,971.822,965.297,289.589
29,971.822,965.297,289.589
30,971.822,965.297,289.589
31,971.822,965.297,289.589
32,971.822,965.297,289.589
33,971.822,965.297,289.589
34,971.822,965.297,289.589
35,971.822,965.297,289.589
36,971.822,965.297,289.589
37,971.822,965.297,289.589
38,971.822,965.297,289.589
39,971.822,965.297,289.589
40,971.822,965.297,289.589
41,1324.05,965.297,286.693
42,1324.05,965.297,286.693
43,1324.05,965.297,286.693
44,1324.05,965.297,286.693
45,971.822,965.297,286.693
46,971.822,965.297,286.693
47,965.297,965.297,286.693
48,965.297,965.297,286.693
49,965.297,965.297,286.693
50,965.297,965.297,286.693
51,965.297,965.297,286.693
52,965.297,965.297,286.693
53,965.297,965.297,286.693
54,965.297,965.297,286.693
55,965.297,965.297,286.693
56,965.297,965.297,286.693
57,965.297,965.297,286.693
58,997.86,965.297,286.693
59,997.86,965.297,286.693
60,997.86,965.297,286.693
61,997.86,965.297,286.693
62,997.86,965.297,286.693
63,965.297,965.297,286.693
64,965.297,965.297,286.693
65,965.297,965.297,286.693
66,965.297,965.297,286.693
67,965.297,965.297,286.693
68,965.297,965.297,286.693
69,965.297,965.297,286.693
70,965.297,965.297,286.693
71,965.297,965.297,286.693
72,965.297,965.297,286.693
73,965.297,965.297,286.693
74,965.297,965.297,286.693
75,965.297,965.297,286.693
