================================================================================
VELORA MOBILITY OPTIMIZER - TEST CASE TC05
================================================================================

INPUT SUMMARY
--------------------------------------------------------------------------------
Total Requests:    100
Total Vehicles:    30

VEHICLES:
  V00 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V01 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V02 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V03 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V04 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V05 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V06 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V07 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V08 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V09 | Capacity:   6 | Cost/km: $18.00 | Start: (12.9279, 77.6271)
  V10 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V11 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V12 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V13 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V14 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V15 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V16 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V17 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V18 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V19 | Capacity:   4 | Cost/km: $14.00 | Start: (12.9279, 77.6271)
  V20 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V21 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V22 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V23 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V24 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V25 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V26 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V27 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V28 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)
  V29 | Capacity:   3 | Cost/km: $10.00 | Start: (12.9279, 77.6271)

REQUESTS:
  R00 | Priority: P3     | Load: 1 | Window: [ 491.0,    581.0]
  R01 | Priority: P3     | Load: 1 | Window: [ 504.0,    594.0]
  R02 | Priority: P3     | Load: 1 | Window: [ 523.0,    613.0]
  R03 | Priority: P3     | Load: 1 | Window: [ 501.0,    591.0]
  R04 | Priority: P2     | Load: 1 | Window: [ 505.0,    595.0]
  R05 | Priority: P3     | Load: 1 | Window: [ 513.0,    603.0]
  R06 | Priority: P3     | Load: 1 | Window: [ 491.0,    581.0]
  R07 | Priority: P4     | Load: 1 | Window: [ 495.0,    585.0]
  R08 | Priority: P3     | Load: 1 | Window: [ 518.0,    608.0]
  R09 | Priority: P3     | Load: 1 | Window: [ 517.0,    607.0]
  R10 | Priority: P3     | Load: 1 | Window: [ 503.0,    593.0]
  R11 | Priority: P5     | Load: 1 | Window: [ 493.0,    583.0]
  R12 | Priority: P4     | Load: 1 | Window: [ 538.0,    628.0]
  R13 | Priority: P1     | Load: 1 | Window: [ 501.0,    591.0]
  R14 | Priority: P3     | Load: 1 | Window: [ 497.0,    587.0]
  R15 | Priority: P2     | Load: 1 | Window: [ 491.0,    581.0]
  R16 | Priority: P4     | Load: 1 | Window: [ 521.0,    611.0]
  R17 | Priority: P3     | Load: 1 | Window: [ 509.0,    599.0]
  R18 | Priority: P3     | Load: 1 | Window: [ 526.0,    616.0]
  R19 | Priority: P3     | Load: 1 | Window: [ 485.0,    575.0]
  R20 | Priority: P5     | Load: 1 | Window: [ 518.0,    608.0]
  R21 | Priority: P3     | Load: 1 | Window: [ 528.0,    618.0]
  R22 | Priority: P3     | Load: 1 | Window: [ 492.0,    582.0]
  R23 | Priority: P1     | Load: 1 | Window: [ 539.0,    629.0]
  R24 | Priority: P3     | Load: 1 | Window: [ 524.0,    614.0]
  R25 | Priority: P3     | Load: 1 | Window: [ 538.0,    628.0]
  R26 | Priority: P3     | Load: 1 | Window: [ 497.0,    587.0]
  R27 | Priority: P4     | Load: 1 | Window: [ 524.0,    614.0]
  R28 | Priority: P2     | Load: 1 | Window: [ 483.0,    573.0]
  R29 | Priority: P1     | Load: 1 | Window: [ 481.0,    571.0]
  R30 | Priority: P2     | Load: 1 | Window: [ 520.0,    610.0]
  R31 | Priority: P3     | Load: 1 | Window: [ 486.0,    576.0]
  R32 | Priority: P5     | Load: 1 | Window: [ 533.0,    623.0]
  R33 | Priority: P2     | Load: 1 | Window: [ 530.0,    620.0]
  R34 | Priority: P3     | Load: 1 | Window: [ 517.0,    607.0]
  R35 | Priority: P2     | Load: 1 | Window: [ 511.0,    601.0]
  R36 | Priority: P1     | Load: 1 | Window: [ 493.0,    583.0]
  R37 | Priority: P3     | Load: 1 | Window: [ 485.0,    575.0]
  R38 | Priority: P2     | Load: 1 | Window: [ 535.0,    625.0]
  R39 | Priority: P2     | Load: 1 | Window: [ 520.0,    610.0]
  R40 | Priority: P4     | Load: 1 | Window: [ 484.0,    574.0]
  R41 | Priority: P3     | Load: 1 | Window: [ 492.0,    582.0]
  R42 | Priority: P1     | Load: 1 | Window: [ 540.0,    630.0]
  R43 | Priority: P3     | Load: 1 | Window: [ 505.0,    595.0]
  R44 | Priority: P2     | Load: 1 | Window: [ 501.0,    591.0]
  R45 | Priority: P3     | Load: 1 | Window: [ 501.0,    591.0]
  R46 | Priority: P3     | Load: 1 | Window: [ 539.0,    629.0]
  R47 | Priority: P4     | Load: 1 | Window: [ 533.0,    623.0]
  R48 | Priority: P2     | Load: 1 | Window: [ 483.0,    573.0]
  R49 | Priority: P3     | Load: 1 | Window: [ 490.0,    580.0]
  R50 | Priority: P2     | Load: 1 | Window: [ 491.0,    581.0]
  R51 | Priority: P3     | Load: 1 | Window: [ 515.0,    605.0]
  R52 | Priority: P2     | Load: 1 | Window: [ 494.0,    584.0]
  R53 | Priority: P3     | Load: 1 | Window: [ 520.0,    610.0]
  R54 | Priority: P2     | Load: 1 | Window: [ 509.0,    599.0]
  R55 | Priority: P4     | Load: 1 | Window: [ 492.0,    582.0]
  R56 | Priority: P3     | Load: 1 | Window: [ 528.0,    618.0]
  R57 | Priority: P4     | Load: 1 | Window: [ 511.0,    601.0]
  R58 | Priority: P2     | Load: 1 | Window: [ 495.0,    585.0]
  R59 | Priority: P1     | Load: 1 | Window: [ 493.0,    583.0]
  R60 | Priority: P2     | Load: 1 | Window: [ 485.0,    575.0]
  R61 | Priority: P3     | Load: 1 | Window: [ 511.0,    601.0]
  R62 | Priority: P2     | Load: 1 | Window: [ 509.0,    599.0]
  R63 | Priority: P3     | Load: 1 | Window: [ 518.0,    608.0]
  R64 | Priority: P3     | Load: 1 | Window: [ 499.0,    589.0]
  R65 | Priority: P4     | Load: 1 | Window: [ 493.0,    583.0]
  R66 | Priority: P4     | Load: 1 | Window: [ 496.0,    586.0]
  R67 | Priority: P2     | Load: 1 | Window: [ 493.0,    583.0]
  R68 | Priority: P2     | Load: 1 | Window: [ 505.0,    595.0]
  R69 | Priority: P3     | Load: 1 | Window: [ 516.0,    606.0]
  R70 | Priority: P2     | Load: 1 | Window: [ 527.0,    617.0]
  R71 | Priority: P3     | Load: 1 | Window: [ 482.0,    572.0]
  R72 | Priority: P4     | Load: 1 | Window: [ 516.0,    606.0]
  R73 | Priority: P3     | Load: 1 | Window: [ 510.0,    600.0]
  R74 | Priority: P4     | Load: 1 | Window: [ 536.0,    626.0]
  R75 | Priority: P4     | Load: 1 | Window: [ 500.0,    590.0]
  R76 | Priority: P2     | Load: 1 | Window: [ 516.0,    606.0]
  R77 | Priority: P4     | Load: 1 | Window: [ 482.0,    572.0]
  R78 | Priority: P3     | Load: 1 | Window: [ 509.0,    599.0]
  R79 | Priority: P3     | Load: 1 | Window: [ 518.0,    608.0]
  R80 | Priority: P3     | Load: 1 | Window: [ 505.0,    595.0]
  R81 | Priority: P3     | Load: 1 | Window: [ 505.0,    595.0]
